,review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,sentimental
90,50a1eaa2f96d6f3e02d0cd68d92bab75,4a7cf245701068d38d441791b735e4bd,5,***** Recomendo,super rápido,2018-05-10 00:00:00,2018-05-11 03:08:49,Positive
104,352609f0f2d34ce5d3b8de817ee948d5,96b947c986b42f213c9e6b8ccccedb89,3,Não recebi o produto.,neutro,2018-08-25 00:00:00,2018-08-25 20:53:41,Neutral
108,1692078634b63c7f25aa90ee746ec498,5bc4e94aef2841f392fb6fe7ceef69b6,5,OTIMO,ok recomendo,2018-05-23 00:00:00,2018-05-28 12:48:45,Positive
131,46d8249ea59101c7288936c3e6f155d7,f25ddb6cd62d720a5d91fff80467930a,3,Entrega atrasou,entrega dividida duas não_ comunicado loja cheguei pensar haviam enviado parte produto,2018-01-20 00:00:00,2018-05-15 00:45:28,Neutral
163,79927442ebcbf70b2021e1339bb9a51b,1c8898140458c37fbbf0be37d47193b9,5,muito boa,gostei atenção entrega,2018-04-27 00:00:00,2018-04-30 08:04:49,Positive
166,14613df954694f243dedeaa2c8a3a5c2,1e91914c9706a5d4665b8c5a6294b107,4, 4 ,vidro quebrado veio caixa nenhuma proteção dentro caixa amassada desculpe gosto comprar vcs,2018-05-15 00:00:00,2018-05-16 23:41:51,Negative
167,5f938e5f5f2e9a75710b54feeb9ea610,d9ff0185a300435402f043124f530274,1,Médio,peça não_ serviu,2018-05-11 00:00:00,2018-05-14 14:08:04,Neutral
170,0c9b6ca9b3beaf0fd5d621f63844ea01,cadd4c5765abf658117f2cc7e2a639c2,5,prazo entrega,espero receber semana não_ tão extravagante porém atrazo faria desistir baratheon,2018-08-26 00:00:00,2018-08-29 02:48:21,Neutral
185,59d95e0b5b52d038dc3a022b7c912969,fc8c2e8bc069aea361c41c313464993c,5,Super produto ,bom alta qualidade,2018-07-04 00:00:00,2018-07-05 00:56:21,Positive
190,c40a6b6e0181e5ec0d12cbc2e12c49d3,f3468d6a2c7586711e9952242898aad4,1,falta de produto e quebra,faltou numero produto recebi numero veio quebrado,2018-05-23 00:00:00,2018-05-23 22:23:00,Neutral
191,5241fcad10d7b45a1761f1e1e1536faa,0bcbcc3e0a09b3f6a9495de35f452616,5,super recomendo,chegou dentro prazo produto excelente qualidade acabou dores costas dormindo bem,2018-07-07 00:00:00,2018-07-09 18:12:17,Positive
197,06f47dacd0575e592bf6a17e922ce6cd,82348f1b5f24ac795fa9320e02c49553,1,não recebi ainda,aqui descrevendo entregue ate agora não_ recebi,2018-06-28 00:00:00,2018-06-29 16:34:46,Neutral
201,4656b8ed41c17f6be05e911e211ecd8f,7bdfa70c4049e7319a3182997e27cb95,3,recomendo,comecei usar agora,2018-05-08 00:00:00,2018-05-10 13:57:17,Neutral
207,6b341682ab39af9fa00d72d7388c903b,fd65651f855608ad1aa52ff4a741c31a,3,Nota3,comprar produto correto capa interno outro,2018-05-10 00:00:00,2018-05-11 01:15:28,Neutral
212,557ae9c16a8ea3909db2fc5a01bc5151,287b045cfe9ba0ed08308efc06c366ae,3,Suspense,fiz pedido numero garrafas azeite chegaram numero dia outras numero quase numero horas contato loja dificil tanto via mail qto telef suspense terminou lá não_ compro,2018-05-24 00:00:00,2018-05-25 12:23:02,Neutral
220,a89a2b0c2014bc49a0f87f1eedb7b269,22b1eef278d4416c1e867a55d1c39fea,5,Entrega antes do previsto,neutro,2018-05-26 00:00:00,2018-05-28 22:46:27,Neutral
225,cdc5c81bd9377ccbf9cb95f05648c31b,18956b40b774d6384c8539cd61784bd7,5,Recomendo,neutro,2018-06-22 00:00:00,2018-06-24 23:07:08,Neutral
228,7914fa319f12631679d1704d7dcd17df,06ecfa8dfae87263e05d953aa561603d,5,Top,recomendo,2018-08-22 00:00:00,2018-08-23 01:51:28,Positive
244,3528296df9092b7a7b88bd036e3f8a8e,dae4fcb62b78ccf2ff3ac4d49113a8f5,5,produto show,super recomendo produto profissional qualidade,2018-07-14 00:00:00,2018-07-17 14:28:34,Positive
249,c7475b2c4448321756b6136327f1394e,e11c61aa2d539f826865ea728496f6d4,5,super recoendo,bom rapido vi ja chegado,2018-08-23 00:00:00,2018-08-24 18:42:32,Neutral
253,65b934c20d632fc2df0fd4723464fa78,824d9780d0313771024a0c70fe9dd9a7,3,Erraram na caixa acústica,apesar ter sido entregue rapidamente substituíram caixa meteoro caixa borne tentei reclamar lannister sistema estaav ar guitarra acessórios corretos,2018-06-12 00:00:00,2018-06-12 22:36:18,Neutral
257,8023f946d9b261cb0ecb604703427917,f23c71439ab24ac853522e783dd7dec2,5,Ótima compra,entregue dentro prazo bom período validade,2018-05-05 00:00:00,2018-05-06 00:28:38,Neutral
276,f7eb8792e67d53e01a224bfa9b6802b2,a0f2f8b0523207a13f02225bc812ed23,1,Horrível,cancelaram compra dia antes entrega liguei lannister atendentes não_ sabiam acontecendo bagunça agora esperando ver vai cobrado,2018-08-05 00:00:00,2018-08-05 09:27:55,Negative
279,4940d39efaa50e020312724f6a6e5efa,1a1ef8dc595adbce0e5d75d806d69286,5,super recomendo,produto qualidade eficiência entrega recebi antes combinado recomendo,2018-06-08 00:00:00,2018-06-08 20:47:31,Positive
281,7bd303edd3865abe8addb98d2a2e6577,d66d818e0e5486b4382bdaad63390b53,5,Muito bom. ,produto bom veio dentro prazo chegou numero dias parabéns,2018-08-01 00:00:00,2018-08-01 18:52:33,Positive
298,3fb929ba2924ff0a47858efb007ceee1,df8e5e994bcc820fcf403f9a875201e6,5,otimo,entrega rapida,2018-08-07 00:00:00,2018-08-08 12:05:26,Neutral
314,382d855ffdd4f5e66594dbfb1566e96f,f506fd1443d94ad16f25a94426fb8805,5,10,cada vez compro fico satisfeita parabéns honestidade clientes,2018-06-03 00:00:00,2018-06-04 00:38:19,Positive
324,6aba6ff5d6b3f6762a2ad9a9f1fbdfcf,bfaea68f958681ec9d22aa2114b45721,4,recomendo,tudo rápido eficiente,2018-08-12 00:00:00,2018-08-14 12:49:30,Neutral
327,8f9aa50ee40780ba3f79614530a34ebe,729c445f5f350f88d5c9a3911d6e9bc0,5,Muito bom ,creme maravilhoso entrega super rápida,2018-05-10 00:00:00,2018-05-10 16:21:17,Positive
332,b396ba75350276a6cc1993b6627dceea,43050a51a257b17d51295e07650cb654,1,Lamenetável...,boa noite lamentável loja tantas compras ja fiz hoje não_ satisfação sequer relógio importância numero numero reais produto defeito agora não_ deu retor,2018-08-23 00:00:00,2018-08-30 03:02:39,Negative
336,f3401a1de0c152923ba58cf7b7d2b84a,a848ecb46fe108b35dd5bd7bf4fdddca,2,Qualidade ruim!,capa protetora não_ exatamente esperava deixa desejar tipo material qualidade,2018-05-19 00:00:00,2018-05-20 13:07:24,Neutral
341,ef9ef383ff6625e8e118db388ad3420d,67274e3826cb110f3d0cb45f33c2275e,3,Insatisfeito,site produto parece ter melhor qualidade material acabamento,2018-07-06 00:00:00,2018-07-09 19:07:34,Neutral
345,5d6f9cddc8335878d8bf20c3bd4602e8,38fc895ea0a2aa253a46a6fdbb65aaf5,5,mega recomendo,recebi produto corretamente dentro prazo verificando caixa tudo correto ainda não_ montei produto lindo cor perfeita amamos super recomendo,2018-08-10 00:00:00,2018-08-11 12:59:16,Positive
347,3a336941a21a96535c9b70e3d28be499,b630c986ea5c14749196132407a05589,5,EXCELENTE PRODUTO,parabéns produto entregue bem antes prazo atendeu necessidades,2018-07-04 00:00:00,2018-07-04 22:24:25,Positive
391,8a310b56e4d05a7786d23986a1a49ae9,c5a47daec61dfde191baca4e5c10668f,4,Recomendo,pedido chegou antes combinado bom,2018-05-08 00:00:00,2018-05-10 17:19:17,Positive
394,5c1ba09de5c746017d406bd2cfefeca3,327eb42fa668b532239f44713415a37a,3,nao entrega do produto,recebe apenas numero peça produto precisando numero peças restante,2018-04-26 00:00:00,2018-04-26 13:36:47,Neutral
404,d6c0b888949f0c3f236d67f588913930,4cd9478b63edacb631dcf780b036b157,4,recomendo,trabalho profissionalismo lojas lannister indico certeza,2018-07-01 00:00:00,2018-07-03 22:47:44,Neutral
414,949127f36b466d3e93a6f3688062cd77,6d2fbf76787b9f35b1f3c3835a8a6a01,5,Captador Presys Blend,tudo ok,2018-08-04 00:00:00,2018-08-06 12:54:45,Neutral
426,320ae91d4c5cb8164c168fc68392a5fb,934e266bc66e8ed5bba8266dfde60175,1,Produto pirata!,instalei cartucho tinta impressora indicou vazio apresentou mensagem erro cima marcador nível tinta solicitei troca,2018-05-22 00:00:00,2018-05-23 01:03:33,Neutral
430,6d7d0a5e33c92adf782b137720eeefa6,d9aefa5d4ccd369c783f5121e069a470,5,produto fraco ,quanto site não_ questionar sempre cumprem super combinado recomendo sempre produto fraco,2018-05-11 00:00:00,2018-05-14 12:04:52,Positive
455,f922b9d00a755863556181c1a366193d,af168723acee7d4de0144ad5361f547d,3,Nota 8,fiquei feliz tecido acho faltou lençol cima ficar completo espero logo lancem,2018-07-07 00:00:00,2018-07-09 21:54:31,Positive
479,032cfb72d792d30b6181b482d85f8d1a,c1ba0776bb79a0826691352f8d6ea4e0,5,Tudo certo!,compra ocorreu esperado desde pedido recebimento produto tudo bem certinho,2018-07-12 00:00:00,2018-07-13 02:40:10,Neutral
493,380884f53f113319198a99516da2ada4,109294a0d68947b6b49c0a59a8f951cd,4,recomendo,otimo,2018-06-17 00:00:00,2018-06-19 19:48:57,Positive
495,b50001aa0bbd7557c4ad80eee167a2a1,daece90b61801c766fe21e0922574566,5,Ótimo ,neutro,2018-05-05 00:00:00,2018-05-07 17:12:36,Neutral
512,f74dd1cc5d081bff126d062eec26f695,4a359800ff0688de3eabc92972987238,5,Otimo,tudo anunciado ótimo produto,2018-05-11 00:00:00,2018-05-12 09:51:46,Positive
517,3f71ee62eb5acdc9b5121f6d99901583,e2f6cc7f7084110fd5473cfdae918307,5,perfeito!!,satisfeito,2018-05-01 00:00:00,2018-05-08 04:00:00,Positive
518,668aad714767396c2b7d949a27913bb7,b4138bbc55ffe9ddeb824f7e3068fc50,4,Lol pet,otimo produto porem caro demais,2018-07-03 00:00:00,2018-07-04 00:57:26,Negative
521,cf1917bdb6925187eb7886ad0a11e745,62b2adbcbcf4e28df4b998bfb094f3f9,4,bom,neutro,2018-07-24 00:00:00,2018-07-27 02:00:03,Neutral
526,30a4f0f115950517b46d48046b609bd1,384f8660f6bc7396d5a875b60285c2dd,5,Excelente,pós venda excelente através sr renato,2018-08-24 00:00:00,2018-08-24 23:59:36,Positive
529,0a9d200bdef258e70eb48398e1287d6d,f9dba21dfbb520ed911cebc91688195e,5,1000000,bom,2018-05-11 00:00:00,2018-05-12 11:07:23,Positive
535,19910e37f2130c56f553edfbdc0c65fb,00b12f4674177ef40c4bdb034138c843,5,Ótimo custo x benefício,produto chegou dentro prazo veio conforme descrição excelente,2018-07-21 00:00:00,2018-07-24 13:29:35,Positive
543,4fa8392da03c452f77faa3f2952fa346,0bb77e62d791c3e5b009815ac19825be,5,Bom ,bom,2018-05-24 00:00:00,2018-05-26 15:55:48,Positive
549,c1f198cdce8b992a9cddc3aaba11e689,bf6a2df6b944199274254f8bb0159ec3,5,Produto e entrega ótimos,apesar demora expedir nota fiscal expedida entrega rápida produto veio bem embalado recomendo,2018-08-21 00:00:00,2018-08-21 23:10:15,Neutral
570,edd86e0af4dc62b340c60d846643cbf9,9537e35e835d4ae6b7b219b8b2e36817,5,PRODUTO OK,prazo estendido porém entregue prazo divulgado propaganda cadeira conforme foto vem montar fácil linda,2018-08-28 00:00:00,2018-08-30 12:38:27,Neutral
571,5b6a0d5350fe3036f41d543d06eb7a5b,7beece85fb714c481300a516c9fb1ade,5,Excelente,simplesmente lindo adorei produto tamanho perfeito comprei várias produtos faz anos compro baratheon,2018-05-20 00:00:00,2018-05-20 22:39:11,Positive
583,3814f35a6ebd64d27e2130f30ec05255,19d1e5344936559f5f7b21099fdadd0e,4,5,neutro,2018-07-11 00:00:00,2018-07-11 16:47:37,Neutral
598,057c9a1e8e767d8bf6fa59ac43a82435,0adf68e8a310f18fc7e75cffa60901b2,4,4,neutro,2018-07-13 00:00:00,2018-07-14 17:25:04,Neutral
612,7dd163fe175817e9e57f965a4382ecab,c1387d81aa7018f9ecca06376610696d,4,Recomendo a todos. ,boa compra,2018-05-11 00:00:00,2018-05-11 20:47:49,Positive
618,9e96e374304db42a8aecd4a97d53cc1b,00f251b943aba645652c7138e4716fee,5,Super recomendado,plenamente satisfeita aquisição recomendo única coisa não_ concordo valor frete autíssimo,2018-08-21 00:00:00,2018-08-22 11:09:52,Positive
628,21d7fa60f781a98de43940c2573d07ee,a41bb2f937139613df86a333fdbaa7c9,5,Super recomendo,entrega produto perfeito,2018-08-24 00:00:00,2018-08-28 20:47:22,Positive
631,035cdc5e7ad5192da517cd947ed17a98,355c14cca8fef764ee4faa28db69342f,5,Excelente Loja,neutro,2018-08-21 00:00:00,2018-08-22 12:13:24,Neutral
644,12f226601192062b644b158e0af9e723,b636037a882bd588f102f9f3fc29b2ca,5,Super satisfeita. ,produto perfeito entrega rápida satisfeitíssima,2018-08-08 00:00:00,2018-08-09 09:57:37,Positive
662,83f2d758c5e31f14e3d8ce9bff55780e,0ec7299d65db721d9a6b5c95c2ff494a,5,Super recomendo,sempre excelente serviço,2018-06-09 00:00:00,2018-06-11 10:35:31,Positive
671,56f8b1f478a87c6604588ad148e61ca8,635607b37cf3b851396ef5a76be8b89f,5,Muito bom o produto ,bom produto melhor esperava entregue prazo gostei bastante,2018-08-07 00:00:00,2018-08-08 02:42:34,Positive
677,d759baf5b86943cc94607ca678da40f4,8821146ecf8a1eb441aa052b371f1814,5,ótimo,neutro,2018-08-16 00:00:00,2018-08-20 23:07:01,Neutral
681,c68c027ea1d9979f147099c68efd93e6,e87c331d21a3fb3085079a9b32f4a56c,5,10,gostei objeto veio comprado comprei outras lojas veio outra cor ñ_ gostei lannister tudo ok,2018-06-19 00:00:00,2018-06-22 01:55:14,Neutral
685,bde05133984518116b3d77d994e375d3,2a743fc30067036b7910663ced5a0b7b,2,produto incorreto,produto não_ medidas corretas indicadas oferta q ligar vcs troca,2018-06-14 00:00:00,2018-06-15 23:26:45,Neutral
694,cf8b4347ae76e6b7992a8c63f3d51774,f0fb77580603e4f955c60d3fe023553f,5,otimo,tudo certinho entrega prazo ótimo,2018-08-03 00:00:00,2018-08-06 11:48:12,Positive
713,f54fd311f6fd8cd1b4affd14bdaf04ce,6e8e751584b3e3141e3e3c39f71408c2,5,Gostei,ótimo perfume fragrância maravilhosa recomendo,2018-07-12 00:00:00,2018-07-15 02:57:52,Positive
717,7c38b0697f3d800e6314b76b382a9f7e,ab6e1678559b60b6e6a7db4837d6664d,5,Pedaleira plataforma,produto superou expectativa prazo entrega antecipado numero dias instalei ficou show,2018-07-28 00:00:00,2018-07-28 21:12:47,Positive
726,f99ff17e430a53efe61d359faa3b425e,009838529bb913846ab6670d22865381,3,PRODUTO COM DEFEITO,solicitei devolução produto defeito,2018-06-27 00:00:00,2018-06-28 11:09:14,Neutral
727,169f34e00e26eea55ba60c7b19170e66,93aa1607392862dacfb4b54774480f1d,5,Regular ,loja si boa pena americana nao_ suporte cliente,2018-05-10 00:00:00,2018-05-10 19:02:31,Neutral
735,11d080870bba1f6ee139bd07dc192d2e,4433ebc14c69e56090cb4e96d574d9c3,4,Bom,acho produto deveria ter prazo validade maior,2018-05-15 00:00:00,2018-05-15 19:52:09,Neutral
740,9a2056d86f12c153d8fbc8d9005e6ac8,54822c94cce4ceb64eb08bbb05fa8fea,5,Entrega antes do prazo.,entrega antes prazo recomendo loja,2018-05-12 00:00:00,2018-05-13 01:36:08,Neutral
756,7a845d0d61a2195360d6856d4f0bbaa8,efd5eba320d140f8659440d74a81fc90,5,super recomendo,agradeço pois recebi produto correto conforme encontrado site entrega super rápida fiquei satisfeito certeza vou recomentar amigo,2018-05-08 00:00:00,2018-05-10 19:24:17,Positive
771,bfac0c3a5b1e91f5737057394d4db682,5defd57f9849f19ee76815ca3a3c8956,3,Bom,neutro,2018-05-23 00:00:00,2018-05-23 23:58:32,Neutral
774,73c3dcf098d78d2bdd96f22aff4f15ef,3d2919530aea3496b5773b143910145f,5,muito bom,bom,2018-08-21 00:00:00,2018-08-22 21:52:32,Positive
784,80877ac989fee57cd52b92256f3d11a0,fc746d47c955d1db95910a81fb288e23,5,recomendo,bom super recomendo entrega sempre certa,2018-05-19 00:00:00,2018-05-22 22:40:28,Positive
802,317a22fbeac23df2d0e098bf85ab709b,de4090fd9b7900d46323b0c7c36b7128,5,Otimo produtos,ainda nao_ instalei gostei,2018-05-12 00:00:00,2018-05-15 03:25:37,Neutral
804,de7648e683482829b3ac3ba3a4ae64a0,21dd600edd64e225d04af3670d1803b3,5,Luminária excelente,bom produto entrega rápida recomendo,2018-05-15 00:00:00,2018-05-19 22:06:57,Positive
805,3cb733daf0cbc6a4c3bb5f733cddca7f,aa31e416f67318939922854f9af2b087,5,recomendo a todos.otima.,neutro,2018-08-16 00:00:00,2018-08-16 20:41:43,Neutral
807,72cc238a6aa8a5af88b0c17ebf469c95,24125310335475b73015f74ec4327c2a,5,chegou antes do prazo de ,bom,2018-07-27 00:00:00,2018-08-22 13:38:23,Positive
816,d6050b36487220bdaccd334bb5ef4743,38d11c87fc409de31e930084abb0c7a4,5,MUITO BOA AMERICANA ,ótima rápida entrega obrigado,2018-08-25 00:00:00,2018-08-25 22:07:39,Positive
817,189089fd0b77adae63b5f9def3573c9b,04105b54650921ca3246f52e6f175f46,5,Excelente,neutro,2018-05-11 00:00:00,2018-05-11 14:22:18,Neutral
818,d8d62030afbc777000b61bdfc7312939,14a05c02d483800864e5c19a3a7f0ee2,2,Entrega de encomenda,penso deveria modo comunicar empresa caso acontecesse encomenda não_ entregue,2018-08-31 00:00:00,2018-08-31 10:22:05,Neutral
826,13e80f4d3fe96747729573b4a95484ab,07d60a76803db63f0ca6708011e8cf9b,5,Excelente!,produto chegou antes prazo,2018-04-29 00:00:00,2018-04-29 21:53:13,Neutral
844,51f6ca3d2e468e053a903139137e91f1,7b2e06fd0a893c5d11fbebd65c872ed1,4,Recomendo!,neutro,2018-04-26 00:00:00,2018-04-26 23:49:45,Neutral
863,b2afc68cb2d3f8cbf7bf956f76c0855c,80fcac926630a1f8dac09acd966434ed,1,PRODUTO PÉSSIMO,produto ja chegou defeito não_ fucionou conforme necessidade uso infelizmente ultima compra totalmente insatisfeito,2018-05-01 00:00:00,2018-05-04 20:31:53,Negative
868,39d9e0cd65655e7c8bc4f39a58a80e28,7bcb99610f15bdb8d701787bf59f0c25,5,Ótima ,neutro,2018-05-10 00:00:00,2018-05-13 19:56:07,Neutral
870,90ee8065d229642eab9c2ffe3b33b91d,e95cac7e9ed8e477d726d47f72f420c6,4,Boa,recomendo loja entrega direitinho,2018-05-16 00:00:00,2018-05-16 21:37:47,Neutral
882,727fdc53d2891323aa72c4c79650c325,6e28885b3b46ef6ae9dfa9209e1c8c48,5,Muito bom,produto ótima qualidade,2018-06-20 00:00:00,2018-06-22 17:28:26,Positive
889,9c8fa795fde24263e0ccbcbc91b8546b,083f267075b03a6cd837f4faa2c7b881,1,Meu produto não chegou,neutro,2018-08-02 00:00:00,2018-08-02 12:19:03,Neutral
898,07405437bacbc37e029fe5f5e10cb4c3,724c7b9d5d226631f82c0c09a9f51685,5,Otima,excelente,2018-07-06 00:00:00,2018-07-07 22:24:12,Positive
902,ded7897490401f7aec8ce868a10fea17,c3a937f97910c3602c1e4cdb4b951b1e,4,recomendaria sim,bom esperava,2018-07-11 00:00:00,2018-07-15 11:44:53,Neutral
908,43375ed8d561b2d0dec4486143cb871c,21717aa89515f9499d2c94578f7848f8,5,Recomendo,relógio lindo entrega antes prazo,2018-06-23 00:00:00,2018-06-24 13:46:23,Positive
912,da9f8f6a08145c2d7c041e57a3f262be,25be8e0ff01817a8a96f61605da2e447,4,capa de notbuk ,veio conforme anunciado simples bonita,2018-08-31 00:00:00,2018-08-31 21:43:45,Neutral
924,db64106aff6c7180cb841937f43f5f44,208215ef3138230b69b97f3fb415e9bc,1,Entrega atrasada,ainda não_ recebi produto,2018-05-24 00:00:00,2018-05-25 01:27:45,Neutral
934,d6b0a9e1cc2bd827de2f63af37710456,41a48f4dc75f01b16dfa7e32cb456ebc,1,Comprei 2 produtos ,comprei numero produtos so mandaram numero n _mim deram nenhuma justificativa,2018-04-27 00:00:00,2018-05-07 14:58:19,Neutral
944,30f2619843ddd4a19bbcb306669d2bf0,5bb8d2fbca419676d395687e28f5263b,5,Muito Bom,imaginei maior boneca legal,2018-07-24 00:00:00,2018-07-26 22:37:06,Positive
969,02dae59a597c87b10313d8d7191a2dfa,49935c2c36ceb474c290a1987bbb941e,3,Bom ,bom,2018-07-24 00:00:00,2018-07-25 13:59:19,Positive
973,a7a8cf00f69bf0445b011c521456bc2b,b56499883923b712fb275ca6ee73bcbe,5,Ótimo! ,neutro,2018-05-11 00:00:00,2018-05-14 14:28:48,Neutral
994,4d59d6249215713bfda42353af53f255,4ab8b7a8e23908984157974ae4ad6436,4,Produto entregue,produto bom entregue antes previsto,2018-06-02 00:00:00,2018-06-04 19:53:33,Positive
995,eaeafb542d4447da454cf68e302ae2bf,b8615aa7e6248212cab23e120279acf2,4,Boa,ainda não_ usei nenhuma viagem parece boa,2018-06-16 00:00:00,2018-06-17 14:05:57,Neutral
1005,c27c301777803a6c53b4306aa298bfbd,4cae9d93ca1f1266e9ddfc79f7ff85db,4,Ótimo,adoro comprar lojas lannister,2018-08-31 00:00:00,2018-08-31 23:20:43,Positive
1020,b51d516182fbac0aacc8b086e803dcde,4d59391202a2a67c2e2fea6f349a67f5,5,Péssima ,recebi produto eh falso quero dinheiro volta,2018-08-18 00:00:00,2018-08-20 17:12:46,Negative
1039,844f12cb44cb2c97b033854a64b4727a,a0727c663f544d6618123c94c779f29b,5,Mto bom,recebi produto prazo tudo ok,2018-06-27 00:00:00,2018-07-09 17:50:37,Neutral
1040,15686e0544ebe0a2c5c5dcbc20e84432,50a58980b691ff7dee971df1e77476e6,5,Bom,neutro,2018-06-28 00:00:00,2018-06-30 20:24:47,Neutral
1044,b62b86ff6108447c826efcf1b157168d,04c28d1572e04b2b3e5b80ca7559e750,1,ENTRAGOU NO PRIMEIRO DIA,abri protocolo devolução produto baixa qualidade deu problema primeiro dia uso lannister virou mercado livre numero pedidos numero problemas,2018-06-21 00:00:00,2018-06-23 00:12:26,Neutral
1045,6318842b0d533f35b17c4b1cfa7df5ea,f0b673967b0be0bfcc14490d3d1842a8,5,Tudo como prometido,entrega prazo descrito site,2018-08-14 00:00:00,2018-08-17 03:07:20,Neutral
1049,48869ca20e2ca762cd6bdd880c8ccae5,32efd401773730f7d0d1c5ae2b841465,5,Recomendadíssimo,surpreendido eficácia ótimo atentimento,2018-07-05 00:00:00,2018-07-05 21:28:40,Positive
1053,0aad108b136bfe5d026d5aee9fb08323,d1ec61b50c7780944fab32ad8b873c85,5,Muito bom o produto,obrigada qualidade produto entrega tbm previsto numero numero chegou dia numero numero adorei parabéns,2018-07-21 00:00:00,2018-07-23 22:59:57,Positive
1060,869696516d580a0871642308af4301f2,2927b6be262c5528b8135e5d330c00f9,4,Produto entregue no prazo,ainda não_ utilizei produto,2018-06-05 00:00:00,2018-06-08 10:35:08,Neutral
1090,6b2ec71624eb21ea03eb7cfbcfbb489a,e0ef63a06438a4f6dfa047fc41217f8e,5,Sério e Rápido ,prestação serviços alta qualidade,2018-08-21 00:00:00,2018-08-24 02:13:31,Neutral
1092,cb6097b53f2d6ceba3c58379e39c2cf7,8ad33f5d86f59bcd9ba668dc2f9eeb71,5,Muito bom,neutro,2018-06-27 00:00:00,2018-06-28 16:11:56,Neutral
1100,da56af7a9b34fdcf8819096258def9f6,4d5779c1406a8459afe82091e0dae935,5,Ótimo,chegou antes data prevista recomendaria amigos loja stark parabéns,2018-08-14 00:00:00,2018-08-20 20:45:00,Positive
1102,f9d15d1ab33610f6fcda6aa6ab4c414d,b744841b6a754e51042b8abcab208ffe,4,Produto bom,gostei,2018-08-03 00:00:00,2018-08-03 04:18:39,Positive
1108,cb50716c99a5928ef74d3052408b77ed,2c06e4f488be0af43964ad30b123034e,5,Ótimo ,protudo chegou ótimo estado conservação antes prazo,2018-06-09 00:00:00,2018-06-10 11:52:14,Positive
1116,46e9da729f7f714d0a3f814d95b902df,a244dfc2d80e0857a17cfd3b58ee9321,4,Bom,neutro,2018-07-13 00:00:00,2018-07-14 02:42:56,Neutral
1117,accb12fbc0a0fd74edb43caea51c87e9,6ff0c72cd26c7ea730935abff483f2e8,5,Entregue no prazo,satisfeito recomendo,2018-08-17 00:00:00,2018-08-18 12:11:26,Positive
1130,8b712cf2f200e83a1082ecd7bfc6e4f2,5b305608c98ca66ced71cde019aba8e9,1,descrição do produto erra,descrição produto errada não_ consegui usar produto pedi cancelamento fazem numero dias ainda não_ obtive resposta,2018-05-22 00:00:00,2018-06-05 20:53:39,Negative
1136,22d2c8858b0c2a3536a1fae8f6b1a0f0,544f1ebc2ee31c6f923a4feba2e0677e,5,Aprovado,chegou pouco antes prazo bom,2018-04-26 00:00:00,2018-04-27 22:49:47,Neutral
