full_date,year,month,day,week,quarter,day_of_week,is_weekend
2016-02-22,2016,2,22,8,1,Monday,0
2016-02-23,2016,2,23,8,1,Tuesday,0
2016-02-24,2016,2,24,8,1,Wednesday,0
2016-02-25,2016,2,25,8,1,Thursday,0
2016-02-26,2016,2,26,8,1,Friday,0
2016-02-27,2016,2,27,8,1,Saturday,1
2016-02-28,2016,2,28,8,1,Sunday,1
2016-02-29,2016,2,29,9,1,Monday,0
2016-03-01,2016,3,1,9,1,Tuesday,0
2016-03-02,2016,3,2,9,1,Wednesday,0
2016-03-03,2016,3,3,9,1,Thursday,0
2016-03-04,2016,3,4,9,1,Friday,0
2016-03-05,2016,3,5,9,1,Saturday,1
2016-03-06,2016,3,6,9,1,Sunday,1
2016-03-07,2016,3,7,10,1,Monday,0
2016-03-08,2016,3,8,10,1,Tuesday,0
2016-03-09,2016,3,9,10,1,Wednesday,0
2016-03-10,2016,3,10,10,1,Thursday,0
2016-03-11,2016,3,11,10,1,Friday,0
2016-03-12,2016,3,12,10,1,Saturday,1
2016-03-13,2016,3,13,10,1,Sunday,1
2016-03-14,2016,3,14,11,1,Monday,0
2016-03-15,2016,3,15,11,1,Tuesday,0
2016-03-16,2016,3,16,11,1,Wednesday,0
2016-03-17,2016,3,17,11,1,Thursday,0
2016-03-18,2016,3,18,11,1,Friday,0
2016-03-19,2016,3,19,11,1,Saturday,1
2016-03-20,2016,3,20,11,1,Sunday,1
2016-03-21,2016,3,21,12,1,Monday,0
2016-03-22,2016,3,22,12,1,Tuesday,0
2016-03-23,2016,3,23,12,1,Wednesday,0
2016-03-24,2016,3,24,12,1,Thursday,0
2016-03-25,2016,3,25,12,1,Friday,0
2016-03-26,2016,3,26,12,1,Saturday,1
2016-03-27,2016,3,27,12,1,Sunday,1
2016-03-28,2016,3,28,13,1,Monday,0
2016-03-29,2016,3,29,13,1,Tuesday,0
2016-03-30,2016,3,30,13,1,Wednesday,0
2016-03-31,2016,3,31,13,1,Thursday,0
2016-04-01,2016,4,1,13,2,Friday,0
2016-04-02,2016,4,2,13,2,Saturday,1
2016-04-03,2016,4,3,13,2,Sunday,1
2016-04-04,2016,4,4,14,2,Monday,0
2016-04-05,2016,4,5,14,2,Tuesday,0
2016-04-06,2016,4,6,14,2,Wednesday,0
2016-04-07,2016,4,7,14,2,Thursday,0
2016-04-08,2016,4,8,14,2,Friday,0
2016-04-09,2016,4,9,14,2,Saturday,1
2016-04-10,2016,4,10,14,2,Sunday,1
2016-04-11,2016,4,11,15,2,Monday,0
2016-04-12,2016,4,12,15,2,Tuesday,0
2016-04-13,2016,4,13,15,2,Wednesday,0
2016-04-14,2016,4,14,15,2,Thursday,0
2016-04-15,2016,4,15,15,2,Friday,0
2016-04-16,2016,4,16,15,2,Saturday,1
2016-04-17,2016,4,17,15,2,Sunday,1
2016-04-18,2016,4,18,16,2,Monday,0
2016-04-19,2016,4,19,16,2,Tuesday,0
2016-04-20,2016,4,20,16,2,Wednesday,0
2016-04-21,2016,4,21,16,2,Thursday,0
2016-04-22,2016,4,22,16,2,Friday,0
2016-04-23,2016,4,23,16,2,Saturday,1
2016-04-24,2016,4,24,16,2,Sunday,1
2016-04-25,2016,4,25,17,2,Monday,0
2016-04-26,2016,4,26,17,2,Tuesday,0
2016-04-27,2016,4,27,17,2,Wednesday,0
2016-04-28,2016,4,28,17,2,Thursday,0
2016-04-29,2016,4,29,17,2,Friday,0
2016-04-30,2016,4,30,17,2,Saturday,1
2016-05-01,2016,5,1,17,2,Sunday,1
2016-05-02,2016,5,2,18,2,Monday,0
2016-05-03,2016,5,3,18,2,Tuesday,0
2016-05-04,2016,5,4,18,2,Wednesday,0
2016-05-05,2016,5,5,18,2,Thursday,0
2016-05-06,2016,5,6,18,2,Friday,0
2016-05-07,2016,5,7,18,2,Saturday,1
2016-05-08,2016,5,8,18,2,Sunday,1
2016-05-09,2016,5,9,19,2,Monday,0
2016-05-10,2016,5,10,19,2,Tuesday,0
2016-05-11,2016,5,11,19,2,Wednesday,0
2016-05-12,2016,5,12,19,2,Thursday,0
2016-05-13,2016,5,13,19,2,Friday,0
2016-05-14,2016,5,14,19,2,Saturday,1
2016-05-15,2016,5,15,19,2,Sunday,1
2016-05-16,2016,5,16,20,2,Monday,0
2016-05-17,2016,5,17,20,2,Tuesday,0
2016-05-18,2016,5,18,20,2,Wednesday,0
2016-05-19,2016,5,19,20,2,Thursday,0
2016-05-20,2016,5,20,20,2,Friday,0
2016-05-21,2016,5,21,20,2,Saturday,1
2016-05-22,2016,5,22,20,2,Sunday,1
2016-05-23,2016,5,23,21,2,Monday,0
2016-05-24,2016,5,24,21,2,Tuesday,0
2016-05-25,2016,5,25,21,2,Wednesday,0
2016-05-26,2016,5,26,21,2,Thursday,0
2016-05-27,2016,5,27,21,2,Friday,0
2016-05-28,2016,5,28,21,2,Saturday,1
2016-05-29,2016,5,29,21,2,Sunday,1
2016-05-30,2016,5,30,22,2,Monday,0
2016-05-31,2016,5,31,22,2,Tuesday,0
2016-06-01,2016,6,1,22,2,Wednesday,0
2016-06-02,2016,6,2,22,2,Thursday,0
2016-06-03,2016,6,3,22,2,Friday,0
2016-06-04,2016,6,4,22,2,Saturday,1
2016-06-05,2016,6,5,22,2,Sunday,1
2016-06-06,2016,6,6,23,2,Monday,0
2016-06-07,2016,6,7,23,2,Tuesday,0
2016-06-08,2016,6,8,23,2,Wednesday,0
2016-06-09,2016,6,9,23,2,Thursday,0
2016-06-10,2016,6,10,23,2,Friday,0
2016-06-11,2016,6,11,23,2,Saturday,1
2016-06-12,2016,6,12,23,2,Sunday,1
2016-06-13,2016,6,13,24,2,Monday,0
2016-06-14,2016,6,14,24,2,Tuesday,0
2016-06-15,2016,6,15,24,2,Wednesday,0
2016-06-16,2016,6,16,24,2,Thursday,0
2016-06-17,2016,6,17,24,2,Friday,0
2016-06-18,2016,6,18,24,2,Saturday,1
2016-06-19,2016,6,19,24,2,Sunday,1
2016-06-20,2016,6,20,25,2,Monday,0
2016-06-21,2016,6,21,25,2,Tuesday,0
2016-06-22,2016,6,22,25,2,Wednesday,0
2016-06-23,2016,6,23,25,2,Thursday,0
2016-06-24,2016,6,24,25,2,Friday,0
2016-06-25,2016,6,25,25,2,Saturday,1
2016-06-26,2016,6,26,25,2,Sunday,1
2016-06-27,2016,6,27,26,2,Monday,0
2016-06-28,2016,6,28,26,2,Tuesday,0
2016-06-29,2016,6,29,26,2,Wednesday,0
2016-06-30,2016,6,30,26,2,Thursday,0
2016-07-01,2016,7,1,26,3,Friday,0
2016-07-02,2016,7,2,26,3,Saturday,1
2016-07-03,2016,7,3,26,3,Sunday,1
2016-07-04,2016,7,4,27,3,Monday,0
2016-07-05,2016,7,5,27,3,Tuesday,0
2016-07-06,2016,7,6,27,3,Wednesday,0
2016-07-07,2016,7,7,27,3,Thursday,0
2016-07-08,2016,7,8,27,3,Friday,0
2016-07-09,2016,7,9,27,3,Saturday,1
2016-07-10,2016,7,10,27,3,Sunday,1
2016-07-11,2016,7,11,28,3,Monday,0
2016-07-12,2016,7,12,28,3,Tuesday,0
2016-07-13,2016,7,13,28,3,Wednesday,0
2016-07-14,2016,7,14,28,3,Thursday,0
2016-07-15,2016,7,15,28,3,Friday,0
2016-07-16,2016,7,16,28,3,Saturday,1
2016-07-17,2016,7,17,28,3,Sunday,1
2016-07-18,2016,7,18,29,3,Monday,0
2016-07-19,2016,7,19,29,3,Tuesday,0
2016-07-20,2016,7,20,29,3,Wednesday,0
2016-07-21,2016,7,21,29,3,Thursday,0
2016-07-22,2016,7,22,29,3,Friday,0
2016-07-23,2016,7,23,29,3,Saturday,1
2016-07-24,2016,7,24,29,3,Sunday,1
2016-07-25,2016,7,25,30,3,Monday,0
2016-07-26,2016,7,26,30,3,Tuesday,0
2016-07-27,2016,7,27,30,3,Wednesday,0
2016-07-28,2016,7,28,30,3,Thursday,0
2016-07-29,2016,7,29,30,3,Friday,0
2016-07-30,2016,7,30,30,3,Saturday,1
2016-07-31,2016,7,31,30,3,Sunday,1
2016-08-01,2016,8,1,31,3,Monday,0
2016-08-02,2016,8,2,31,3,Tuesday,0
2016-08-03,2016,8,3,31,3,Wednesday,0
2016-08-04,2016,8,4,31,3,Thursday,0
2016-08-05,2016,8,5,31,3,Friday,0
2016-08-06,2016,8,6,31,3,Saturday,1
2016-08-07,2016,8,7,31,3,Sunday,1
2016-08-08,2016,8,8,32,3,Monday,0
2016-08-09,2016,8,9,32,3,Tuesday,0
2016-08-10,2016,8,10,32,3,Wednesday,0
2016-08-11,2016,8,11,32,3,Thursday,0
2016-08-12,2016,8,12,32,3,Friday,0
2016-08-13,2016,8,13,32,3,Saturday,1
2016-08-14,2016,8,14,32,3,Sunday,1
2016-08-15,2016,8,15,33,3,Monday,0
2016-08-16,2016,8,16,33,3,Tuesday,0
2016-08-17,2016,8,17,33,3,Wednesday,0
2016-08-18,2016,8,18,33,3,Thursday,0
2016-08-19,2016,8,19,33,3,Friday,0
2016-08-20,2016,8,20,33,3,Saturday,1
2016-08-21,2016,8,21,33,3,Sunday,1
2016-08-22,2016,8,22,34,3,Monday,0
2016-08-23,2016,8,23,34,3,Tuesday,0
2016-08-24,2016,8,24,34,3,Wednesday,0
2016-08-25,2016,8,25,34,3,Thursday,0
2016-08-26,2016,8,26,34,3,Friday,0
2016-08-27,2016,8,27,34,3,Saturday,1
2016-08-28,2016,8,28,34,3,Sunday,1
2016-08-29,2016,8,29,35,3,Monday,0
2016-08-30,2016,8,30,35,3,Tuesday,0
2016-08-31,2016,8,31,35,3,Wednesday,0
2016-09-01,2016,9,1,35,3,Thursday,0
2016-09-02,2016,9,2,35,3,Friday,0
2016-09-03,2016,9,3,35,3,Saturday,1
2016-09-04,2016,9,4,35,3,Sunday,1
2016-09-05,2016,9,5,36,3,Monday,0
2016-09-06,2016,9,6,36,3,Tuesday,0
2016-09-07,2016,9,7,36,3,Wednesday,0
2016-09-08,2016,9,8,36,3,Thursday,0
2016-09-09,2016,9,9,36,3,Friday,0
2016-09-10,2016,9,10,36,3,Saturday,1
2016-09-11,2016,9,11,36,3,Sunday,1
2016-09-12,2016,9,12,37,3,Monday,0
2016-09-13,2016,9,13,37,3,Tuesday,0
2016-09-14,2016,9,14,37,3,Wednesday,0
2016-09-15,2016,9,15,37,3,Thursday,0
2016-09-16,2016,9,16,37,3,Friday,0
2016-09-17,2016,9,17,37,3,Saturday,1
2016-09-18,2016,9,18,37,3,Sunday,1
2016-09-19,2016,9,19,38,3,Monday,0
2016-09-20,2016,9,20,38,3,Tuesday,0
2016-09-21,2016,9,21,38,3,Wednesday,0
2016-09-22,2016,9,22,38,3,Thursday,0
2016-09-23,2016,9,23,38,3,Friday,0
2016-09-24,2016,9,24,38,3,Saturday,1
2016-09-25,2016,9,25,38,3,Sunday,1
2016-09-26,2016,9,26,39,3,Monday,0
2016-09-27,2016,9,27,39,3,Tuesday,0
2016-09-28,2016,9,28,39,3,Wednesday,0
2016-09-29,2016,9,29,39,3,Thursday,0
2016-09-30,2016,9,30,39,3,Friday,0
2016-10-01,2016,10,1,39,4,Saturday,1
2016-10-02,2016,10,2,39,4,Sunday,1
2016-10-03,2016,10,3,40,4,Monday,0
2016-10-04,2016,10,4,40,4,Tuesday,0
2016-10-05,2016,10,5,40,4,Wednesday,0
2016-10-06,2016,10,6,40,4,Thursday,0
2016-10-07,2016,10,7,40,4,Friday,0
2016-10-08,2016,10,8,40,4,Saturday,1
2016-10-09,2016,10,9,40,4,Sunday,1
2016-10-10,2016,10,10,41,4,Monday,0
2016-10-11,2016,10,11,41,4,Tuesday,0
2016-10-12,2016,10,12,41,4,Wednesday,0
2016-10-13,2016,10,13,41,4,Thursday,0
2016-10-14,2016,10,14,41,4,Friday,0
2016-10-15,2016,10,15,41,4,Saturday,1
2016-10-16,2016,10,16,41,4,Sunday,1
2016-10-17,2016,10,17,42,4,Monday,0
2016-10-18,2016,10,18,42,4,Tuesday,0
2016-10-19,2016,10,19,42,4,Wednesday,0
2016-10-20,2016,10,20,42,4,Thursday,0
2016-10-21,2016,10,21,42,4,Friday,0
2016-10-22,2016,10,22,42,4,Saturday,1
2016-10-23,2016,10,23,42,4,Sunday,1
2016-10-24,2016,10,24,43,4,Monday,0
2016-10-25,2016,10,25,43,4,Tuesday,0
2016-10-26,2016,10,26,43,4,Wednesday,0
2016-10-27,2016,10,27,43,4,Thursday,0
2016-10-28,2016,10,28,43,4,Friday,0
2016-10-29,2016,10,29,43,4,Saturday,1
2016-10-30,2016,10,30,43,4,Sunday,1
2016-10-31,2016,10,31,44,4,Monday,0
2016-11-01,2016,11,1,44,4,Tuesday,0
2016-11-02,2016,11,2,44,4,Wednesday,0
2016-11-03,2016,11,3,44,4,Thursday,0
2016-11-04,2016,11,4,44,4,Friday,0
2016-11-05,2016,11,5,44,4,Saturday,1
2016-11-06,2016,11,6,44,4,Sunday,1
2016-11-07,2016,11,7,45,4,Monday,0
2016-11-08,2016,11,8,45,4,Tuesday,0
2016-11-09,2016,11,9,45,4,Wednesday,0
2016-11-10,2016,11,10,45,4,Thursday,0
2016-11-11,2016,11,11,45,4,Friday,0
2016-11-12,2016,11,12,45,4,Saturday,1
2016-11-13,2016,11,13,45,4,Sunday,1
2016-11-14,2016,11,14,46,4,Monday,0
2016-11-15,2016,11,15,46,4,Tuesday,0
2016-11-16,2016,11,16,46,4,Wednesday,0
2016-11-17,2016,11,17,46,4,Thursday,0
2016-11-18,2016,11,18,46,4,Friday,0
2016-11-19,2016,11,19,46,4,Saturday,1
2016-11-20,2016,11,20,46,4,Sunday,1
2016-11-21,2016,11,21,47,4,Monday,0
2016-11-22,2016,11,22,47,4,Tuesday,0
2016-11-23,2016,11,23,47,4,Wednesday,0
2016-11-24,2016,11,24,47,4,Thursday,0
2016-11-25,2016,11,25,47,4,Friday,0
2016-11-26,2016,11,26,47,4,Saturday,1
2016-11-27,2016,11,27,47,4,Sunday,1
2016-11-28,2016,11,28,48,4,Monday,0
2016-11-29,2016,11,29,48,4,Tuesday,0
2016-11-30,2016,11,30,48,4,Wednesday,0
2016-12-01,2016,12,1,48,4,Thursday,0
2016-12-02,2016,12,2,48,4,Friday,0
2016-12-03,2016,12,3,48,4,Saturday,1
2016-12-04,2016,12,4,48,4,Sunday,1
2016-12-05,2016,12,5,49,4,Monday,0
2016-12-06,2016,12,6,49,4,Tuesday,0
2016-12-07,2016,12,7,49,4,Wednesday,0
2016-12-08,2016,12,8,49,4,Thursday,0
2016-12-09,2016,12,9,49,4,Friday,0
2016-12-10,2016,12,10,49,4,Saturday,1
2016-12-11,2016,12,11,49,4,Sunday,1
2016-12-12,2016,12,12,50,4,Monday,0
2016-12-13,2016,12,13,50,4,Tuesday,0
2016-12-14,2016,12,14,50,4,Wednesday,0
2016-12-15,2016,12,15,50,4,Thursday,0
2016-12-16,2016,12,16,50,4,Friday,0
2016-12-17,2016,12,17,50,4,Saturday,1
2016-12-18,2016,12,18,50,4,Sunday,1
2016-12-19,2016,12,19,51,4,Monday,0
2016-12-20,2016,12,20,51,4,Tuesday,0
2016-12-21,2016,12,21,51,4,Wednesday,0
2016-12-22,2016,12,22,51,4,Thursday,0
2016-12-23,2016,12,23,51,4,Friday,0
2016-12-24,2016,12,24,51,4,Saturday,1
2016-12-25,2016,12,25,51,4,Sunday,1
2016-12-26,2016,12,26,52,4,Monday,0
2016-12-27,2016,12,27,52,4,Tuesday,0
2016-12-28,2016,12,28,52,4,Wednesday,0
2016-12-29,2016,12,29,52,4,Thursday,0
2016-12-30,2016,12,30,52,4,Friday,0
2016-12-31,2016,12,31,52,4,Saturday,1
2017-01-01,2017,1,1,52,1,Sunday,1
2017-01-02,2017,1,2,1,1,Monday,0
2017-01-03,2017,1,3,1,1,Tuesday,0
2017-01-04,2017,1,4,1,1,Wednesday,0
2017-01-05,2017,1,5,1,1,Thursday,0
2017-01-06,2017,1,6,1,1,Friday,0
2017-01-07,2017,1,7,1,1,Saturday,1
2017-01-08,2017,1,8,1,1,Sunday,1
2017-01-09,2017,1,9,2,1,Monday,0
2017-01-10,2017,1,10,2,1,Tuesday,0
2017-01-11,2017,1,11,2,1,Wednesday,0
2017-01-12,2017,1,12,2,1,Thursday,0
2017-01-13,2017,1,13,2,1,Friday,0
2017-01-14,2017,1,14,2,1,Saturday,1
2017-01-15,2017,1,15,2,1,Sunday,1
2017-01-16,2017,1,16,3,1,Monday,0
2017-01-17,2017,1,17,3,1,Tuesday,0
2017-01-18,2017,1,18,3,1,Wednesday,0
2017-01-19,2017,1,19,3,1,Thursday,0
2017-01-20,2017,1,20,3,1,Friday,0
2017-01-21,2017,1,21,3,1,Saturday,1
2017-01-22,2017,1,22,3,1,Sunday,1
2017-01-23,2017,1,23,4,1,Monday,0
2017-01-24,2017,1,24,4,1,Tuesday,0
2017-01-25,2017,1,25,4,1,Wednesday,0
2017-01-26,2017,1,26,4,1,Thursday,0
2017-01-27,2017,1,27,4,1,Friday,0
2017-01-28,2017,1,28,4,1,Saturday,1
2017-01-29,2017,1,29,4,1,Sunday,1
2017-01-30,2017,1,30,5,1,Monday,0
2017-01-31,2017,1,31,5,1,Tuesday,0
2017-02-01,2017,2,1,5,1,Wednesday,0
2017-02-02,2017,2,2,5,1,Thursday,0
2017-02-03,2017,2,3,5,1,Friday,0
2017-02-04,2017,2,4,5,1,Saturday,1
2017-02-05,2017,2,5,5,1,Sunday,1
2017-02-06,2017,2,6,6,1,Monday,0
2017-02-07,2017,2,7,6,1,Tuesday,0
2017-02-08,2017,2,8,6,1,Wednesday,0
2017-02-09,2017,2,9,6,1,Thursday,0
2017-02-10,2017,2,10,6,1,Friday,0
2017-02-11,2017,2,11,6,1,Saturday,1
2017-02-12,2017,2,12,6,1,Sunday,1
2017-02-13,2017,2,13,7,1,Monday,0
2017-02-14,2017,2,14,7,1,Tuesday,0
2017-02-15,2017,2,15,7,1,Wednesday,0
2017-02-16,2017,2,16,7,1,Thursday,0
2017-02-17,2017,2,17,7,1,Friday,0
2017-02-18,2017,2,18,7,1,Saturday,1
2017-02-19,2017,2,19,7,1,Sunday,1
2017-02-20,2017,2,20,8,1,Monday,0
2017-02-21,2017,2,21,8,1,Tuesday,0
2017-02-22,2017,2,22,8,1,Wednesday,0
2017-02-23,2017,2,23,8,1,Thursday,0
2017-02-24,2017,2,24,8,1,Friday,0
2017-02-25,2017,2,25,8,1,Saturday,1
2017-02-26,2017,2,26,8,1,Sunday,1
2017-02-27,2017,2,27,9,1,Monday,0
2017-02-28,2017,2,28,9,1,Tuesday,0
2017-03-01,2017,3,1,9,1,Wednesday,0
2017-03-02,2017,3,2,9,1,Thursday,0
2017-03-03,2017,3,3,9,1,Friday,0
2017-03-04,2017,3,4,9,1,Saturday,1
2017-03-05,2017,3,5,9,1,Sunday,1
2017-03-06,2017,3,6,10,1,Monday,0
2017-03-07,2017,3,7,10,1,Tuesday,0
2017-03-08,2017,3,8,10,1,Wednesday,0
2017-03-09,2017,3,9,10,1,Thursday,0
2017-03-10,2017,3,10,10,1,Friday,0
2017-03-11,2017,3,11,10,1,Saturday,1
2017-03-12,2017,3,12,10,1,Sunday,1
2017-03-13,2017,3,13,11,1,Monday,0
2017-03-14,2017,3,14,11,1,Tuesday,0
2017-03-15,2017,3,15,11,1,Wednesday,0
2017-03-16,2017,3,16,11,1,Thursday,0
2017-03-17,2017,3,17,11,1,Friday,0
2017-03-18,2017,3,18,11,1,Saturday,1
2017-03-19,2017,3,19,11,1,Sunday,1
2017-03-20,2017,3,20,12,1,Monday,0
2017-03-21,2017,3,21,12,1,Tuesday,0
2017-03-22,2017,3,22,12,1,Wednesday,0
2017-03-23,2017,3,23,12,1,Thursday,0
2017-03-24,2017,3,24,12,1,Friday,0
2017-03-25,2017,3,25,12,1,Saturday,1
2017-03-26,2017,3,26,12,1,Sunday,1
2017-03-27,2017,3,27,13,1,Monday,0
2017-03-28,2017,3,28,13,1,Tuesday,0
2017-03-29,2017,3,29,13,1,Wednesday,0
2017-03-30,2017,3,30,13,1,Thursday,0
2017-03-31,2017,3,31,13,1,Friday,0
2017-04-01,2017,4,1,13,2,Saturday,1
2017-04-02,2017,4,2,13,2,Sunday,1
2017-04-03,2017,4,3,14,2,Monday,0
2017-04-04,2017,4,4,14,2,Tuesday,0
2017-04-05,2017,4,5,14,2,Wednesday,0
2017-04-06,2017,4,6,14,2,Thursday,0
2017-04-07,2017,4,7,14,2,Friday,0
2017-04-08,2017,4,8,14,2,Saturday,1
2017-04-09,2017,4,9,14,2,Sunday,1
2017-04-10,2017,4,10,15,2,Monday,0
2017-04-11,2017,4,11,15,2,Tuesday,0
2017-04-12,2017,4,12,15,2,Wednesday,0
2017-04-13,2017,4,13,15,2,Thursday,0
2017-04-14,2017,4,14,15,2,Friday,0
2017-04-15,2017,4,15,15,2,Saturday,1
2017-04-16,2017,4,16,15,2,Sunday,1
2017-04-17,2017,4,17,16,2,Monday,0
2017-04-18,2017,4,18,16,2,Tuesday,0
2017-04-19,2017,4,19,16,2,Wednesday,0
2017-04-20,2017,4,20,16,2,Thursday,0
2017-04-21,2017,4,21,16,2,Friday,0
2017-04-22,2017,4,22,16,2,Saturday,1
2017-04-23,2017,4,23,16,2,Sunday,1
2017-04-24,2017,4,24,17,2,Monday,0
2017-04-25,2017,4,25,17,2,Tuesday,0
2017-04-26,2017,4,26,17,2,Wednesday,0
2017-04-27,2017,4,27,17,2,Thursday,0
2017-04-28,2017,4,28,17,2,Friday,0
2017-04-29,2017,4,29,17,2,Saturday,1
2017-04-30,2017,4,30,17,2,Sunday,1
2017-05-01,2017,5,1,18,2,Monday,0
2017-05-02,2017,5,2,18,2,Tuesday,0
2017-05-03,2017,5,3,18,2,Wednesday,0
2017-05-04,2017,5,4,18,2,Thursday,0
2017-05-05,2017,5,5,18,2,Friday,0
2017-05-06,2017,5,6,18,2,Saturday,1
2017-05-07,2017,5,7,18,2,Sunday,1
2017-05-08,2017,5,8,19,2,Monday,0
2017-05-09,2017,5,9,19,2,Tuesday,0
2017-05-10,2017,5,10,19,2,Wednesday,0
2017-05-11,2017,5,11,19,2,Thursday,0
2017-05-12,2017,5,12,19,2,Friday,0
2017-05-13,2017,5,13,19,2,Saturday,1
2017-05-14,2017,5,14,19,2,Sunday,1
2017-05-15,2017,5,15,20,2,Monday,0
2017-05-16,2017,5,16,20,2,Tuesday,0
2017-05-17,2017,5,17,20,2,Wednesday,0
2017-05-18,2017,5,18,20,2,Thursday,0
2017-05-19,2017,5,19,20,2,Friday,0
2017-05-20,2017,5,20,20,2,Saturday,1
2017-05-21,2017,5,21,20,2,Sunday,1
2017-05-22,2017,5,22,21,2,Monday,0
2017-05-23,2017,5,23,21,2,Tuesday,0
2017-05-24,2017,5,24,21,2,Wednesday,0
2017-05-25,2017,5,25,21,2,Thursday,0
2017-05-26,2017,5,26,21,2,Friday,0
2017-05-27,2017,5,27,21,2,Saturday,1
2017-05-28,2017,5,28,21,2,Sunday,1
2017-05-29,2017,5,29,22,2,Monday,0
2017-05-30,2017,5,30,22,2,Tuesday,0
2017-05-31,2017,5,31,22,2,Wednesday,0
2017-06-01,2017,6,1,22,2,Thursday,0
2017-06-02,2017,6,2,22,2,Friday,0
2017-06-03,2017,6,3,22,2,Saturday,1
2017-06-04,2017,6,4,22,2,Sunday,1
2017-06-05,2017,6,5,23,2,Monday,0
2017-06-06,2017,6,6,23,2,Tuesday,0
2017-06-07,2017,6,7,23,2,Wednesday,0
2017-06-08,2017,6,8,23,2,Thursday,0
2017-06-09,2017,6,9,23,2,Friday,0
2017-06-10,2017,6,10,23,2,Saturday,1
2017-06-11,2017,6,11,23,2,Sunday,1
2017-06-12,2017,6,12,24,2,Monday,0
2017-06-13,2017,6,13,24,2,Tuesday,0
2017-06-14,2017,6,14,24,2,Wednesday,0
2017-06-15,2017,6,15,24,2,Thursday,0
2017-06-16,2017,6,16,24,2,Friday,0
2017-06-17,2017,6,17,24,2,Saturday,1
2017-06-18,2017,6,18,24,2,Sunday,1
2017-06-19,2017,6,19,25,2,Monday,0
2017-06-20,2017,6,20,25,2,Tuesday,0
2017-06-21,2017,6,21,25,2,Wednesday,0
2017-06-22,2017,6,22,25,2,Thursday,0
2017-06-23,2017,6,23,25,2,Friday,0
2017-06-24,2017,6,24,25,2,Saturday,1
2017-06-25,2017,6,25,25,2,Sunday,1
2017-06-26,2017,6,26,26,2,Monday,0
2017-06-27,2017,6,27,26,2,Tuesday,0
2017-06-28,2017,6,28,26,2,Wednesday,0
2017-06-29,2017,6,29,26,2,Thursday,0
2017-06-30,2017,6,30,26,2,Friday,0
2017-07-01,2017,7,1,26,3,Saturday,1
2017-07-02,2017,7,2,26,3,Sunday,1
2017-07-03,2017,7,3,27,3,Monday,0
2017-07-04,2017,7,4,27,3,Tuesday,0
2017-07-05,2017,7,5,27,3,Wednesday,0
2017-07-06,2017,7,6,27,3,Thursday,0
2017-07-07,2017,7,7,27,3,Friday,0
2017-07-08,2017,7,8,27,3,Saturday,1
2017-07-09,2017,7,9,27,3,Sunday,1
